NAMELSAD,"Overall Disadvantaged (0 = no, 1 = yes)",Total Disadvantaged Score,"Transportation Disadvantaged (0 = no, 1 = yes)",Transportation Avg. Percentile Score,"Health Disadvantaged (0 = no, 1 = yes)",Health Avg. Percentile Score,"Environmental Disadvantaged (0 = no, 1 = yes)",Environmental Avg. Percentile Score,"Economic Disadvantaged (0 = no, 1 = yes)",Economic Avg. Percentile Score,"Resilience Disadvantaged (0 = no, 1 = yes)",Resilience Avg. Percentile Score,"Equity Disadvantaged (0 = no, 1 = yes)",Equity Avg. Percentile Score
Census Tract 50.03,1,4,1,0.561797753,1,0.734082397,1,0.570224719,1,0.715088283,0,0.157303371,0,0.365168539
Census Tract 50.04,1,5,1,0.700374532,1,0.666666667,1,0.673220974,1,0.688603531,0,0.528089888,1,0.904494382
Census Tract 51.04,1,6,1,0.54494382,1,0.764044944,1,0.686329588,1,0.756019262,1,0.775280899,1,0.93258427
Census Tract 53,1,5,1,0.582397004,1,0.655430712,1,0.575842697,1,0.667736758,0,0.325842697,1,0.634831461
Census Tract 68.13,1,5,1,0.608614232,1,0.799625468,1,0.551498127,1,0.601123596,0,0.471910112,1,0.764044944
Census Tract 68.14,1,5,1,0.52247191,1,0.629213483,1,0.625468165,1,0.546548957,0,0.533707865,1,0.825842697
Census Tract 68.18,1,4,1,0.5,1,0.646067416,0,0.246254682,1,0.500802568,0,0.494382022,1,0.685393258
Census Tract 69.02,1,4,1,0.63670412,1,0.895131086,1,0.503745318,1,0.656500803,0,0.483146067,0,0.488764045
Census Tract 69.03,1,4,0,0.256554307,1,0.576779026,1,0.65917603,1,0.735152488,0,0.078651685,1,0.786516854
Census Tract 70.06,1,5,1,0.705992509,1,0.520599251,1,0.732209738,1,0.719903692,0,0.117977528,1,0.971910112
Census Tract 70.37,1,5,1,0.784644195,1,0.559925094,1,0.759363296,1,0.821027287,0,0.320224719,1,0.926966292
Census Tract 70.88,1,5,1,0.760299625,1,0.810861423,1,0.654494382,1,0.674157303,0,0.54494382,1,0.640449438
Census Tract 70.90,1,4,0,0.45505618,1,0.539325843,1,0.661048689,1,0.646869984,0,0,1,0.808988764
Census Tract 70.91,1,4,1,0.554307116,1,0.698501873,0,0.320224719,1,0.555377207,0,0.162921348,1,0.58988764
Census Tract 83.04,1,5,1,0.623595506,1,0.777153558,1,0.768726592,1,0.642054575,0,0.016853933,1,0.865168539
Census Tract 83.05,1,5,1,0.720973783,1,0.561797753,1,0.764981273,1,0.739165329,0,0.028089888,1,0.719101124
Census Tract 83.06,1,5,1,0.694756554,1,0.631086142,1,0.717228464,1,0.755216693,0,0.353932584,1,0.966292135
Census Tract 83.12,1,6,1,0.644194757,1,0.610486891,1,0.755617978,1,0.613964687,1,0.797752809,1,0.792134831
Census Tract 83.86,1,4,0,0.47752809,1,0.528089888,1,0.661985019,1,0.621187801,0,0.230337079,1,0.741573034
Census Tract 83.88,1,4,0,0.494382022,0,0.344569288,1,0.593632959,1,0.552969502,1,0.966292135,1,0.803370787
Census Tract 83.89,1,4,1,0.511235955,1,0.563670412,0,0.496254682,0,0.456661316,1,0.971910112,1,0.651685393
Census Tract 83.90,1,4,1,0.705992509,1,0.539325843,0,0.470037453,0,0.341894061,1,0.820224719,1,0.696629213
